"genes","logFC","logCPM","PValue","FDR"
"LIFR",0.34390558538809,6.83861963519978,0.000125964432127733,0.00046773035919996
"USP11",-0.263151007631186,5.76069380642309,0.000126182852849882,0.00046835300147055
"KLHL23",-0.339507767423374,3.62860430689257,0.000126862371752311,0.000470685913844688
"TFAM",-0.215882605977489,4.51501183474933,0.00012700872858913,0.000471039603698779
"SKP1",-0.165810425848103,8.28657234791695,0.000127235987406655,0.000471692931626841
"INTS5",0.222449741912981,4.22345905249713,0.000127365960608396,0.000471985219741512
"PTK2",0.168376963251664,6.24745268030752,0.000127683053831396,0.000472970413289574
"MYH2",-0.895688343227199,13.1462718809065,0.000127917965296722,0.000473650516507839
"COPB1",0.189610674844361,5.74486185505068,0.0001285580908913,0.000475829886534718
"ANXA7",-0.147246118766005,7.47918090009418,0.000128662715430395,0.000476026262981152
"KLHL36",0.259109873911185,3.45223263648165,0.000129018306286335,0.0004771506351479
"UNC93B1",0.537212692318214,2.33036719158127,0.000129466614553842,0.000478616867819991
"NELFB",0.188937565055221,5.74437728514287,0.000130134639360785,0.000480893857461732
"MLLT1",0.206280588527341,6.04722556217284,0.000130949163965329,0.00048371017709642
"TSSC1",-0.309133930652467,3.45738517124978,0.000132757708982624,0.00049019456464744
"TCTN1",0.296448548694594,3.50161672791949,0.000133769533044016,0.000493733130559502
"PRR14",0.247654706198765,4.20021440909671,0.000134047407785193,0.000494560999706283
"ATP6V1D",-0.185911675782084,5.46110141388558,0.000134822158035959,0.000497220671526144
"IQSEC2",0.294912967130169,5.31475911488341,0.000134983244793558,0.000497615947559638
"LIG3",0.16259963732774,4.646213365019,0.000136700252414659,0.000503744522969946
"HSPA1A",-0.691307266114335,6.70337180446037,0.000137719094724958,0.000507296473825255
"CHD2",-0.213900293766846,7.06924694401616,0.000138321364813709,0.000509311734581313
"TANGO6",0.17010444058034,4.27468861782257,0.000138524971030566,0.00050985805725006
"COL6A1",-0.582171800648506,7.79161872529558,0.000138801131331842,0.000510670882153941
"TCEAL4",-0.272765953674429,5.39778280357522,0.000139548145235645,0.000513214712617624
"WIPF3",-0.566034105970031,6.00181363408486,0.000139683066843215,0.000513506328167949
"EFEMP2",-0.50090315913962,4.66909447663585,0.000140688724809337,0.000516997459679535
"COG4",-0.187422823932299,6.25864017370427,0.000141675169414003,0.000520415236315423
"SP1",0.195073420894346,6.45480782694473,0.000142299445934866,0.000522500471529336
"SF3A1",0.157464156441359,6.61868939459235,0.000143404118142055,0.000526347282134915
"FAM200A",-0.248003904237127,2.71023876863907,0.000143694772160249,0.00052719510810888
