"genes","logFC","logCPM","PValue","FDR"
"ATF7",-0.0878475971456376,5.40024919715567,0.0121728684997437,0.0203971227302839
"KIRREL",-0.258153820183813,3.95915581447192,0.0122035606675347,0.020444840022144
"DCTN2",-0.0747775414083512,6.82240695450461,0.0122591385939856,0.0205333780275721
"STAG1",-0.090748121526508,5.30912048116555,0.012260857944749,0.0205333780275721
"DIS3",-0.0980338628295022,4.95211257367798,0.0122858334336281,0.020564868207408
"CHST14",-0.198498462957849,2.4131009339155,0.0122860455941517,0.020564868207408
"TSG101",0.0718957754724308,6.02809015475973,0.0122863447257995,0.020564868207408
"SCAMP4",0.134507619841698,4.08081520666934,0.0123613253423969,0.0206866196946458
"INPP5K",-0.0892468692935448,5.61047204813659,0.0123706623880776,0.0206984927504703
"CHD6",0.128492655349155,5.27186067016567,0.0123805383543282,0.0207112630570503
"CCDC94",0.111725191164536,3.81758163548607,0.0124300269409286,0.020790284234773
"GORASP2",0.0643767500488559,5.79790835157841,0.0124338223788421,0.0207928649237484
"OGFOD1",0.11884103086147,6.3184544112581,0.0124421405103553,0.0208030065298115
"PNKD",0.107606897952416,4.63222856703103,0.0124444856630958,0.020803159571901
"S1PR3",-0.236850944328797,3.0909556803374,0.0124515270686351,0.0208111617545845
"ZNF362",0.105966973110017,4.60449335370735,0.0124676049358784,0.020834261615332
"MFAP3L",0.389203771380191,3.04697711968221,0.0124713389097256,0.0208367293168646
"MUM1",-0.133323595962499,4.6603217094028,0.0125829897220548,0.0210194676301644
"ABHD11",0.135076310827623,3.14186030929668,0.0126068547641656,0.0210555231279198
"MAP3K20",0.159499509464746,9.59580237718165,0.0126539288066551,0.0211303214208093
"ATRAID",0.100462819886017,5.97425446935034,0.0126725915943645,0.0211576583482689
"ARL6IP5",0.110629953724884,7.30683847651177,0.0126807588729633,0.0211674656702213
"INSIG1",-0.244952064204905,3.72182599278197,0.0127481070660728,0.0212760398349156
"ZMYM2",0.104663980876928,6.07330219824379,0.0127745458307994,0.0213163110202655
"CALML6",0.444633125161802,4.28344797682423,0.0128450348027973,0.0214300589670382
"RAMP2",-0.242455334548325,3.53737678227123,0.0128696822166549,0.0214660068052336
"TNNT3",0.339438100825921,11.8954508720326,0.0128712325497744,0.0214660068052336
"OMA1",0.123346391127803,3.99556861244081,0.0128929671335265,0.0214983705942166
"DAD1",-0.109757630729137,5.40499881661693,0.0129160157138917,0.0215329133203782
"FAM199X",0.0880778510577475,5.20927537498346,0.0129372825449901,0.0215644736678952
"C16orf62",0.0689978437772565,5.21683084238942,0.0129806301047398,0.0216328211765396
"ASB2",0.278759317796308,9.05331360529634,0.0130136397553911,0.021682578068533
"DENND4C",-0.113610345447681,4.96023213547749,0.0130151841704844,0.021682578068533
"SIX1",0.155480930796857,6.63656686728456,0.0130561342628655,0.0217468739409079
"SLC39A6",0.097034979542114,4.34643581933233,0.0130949963387075,0.0218076693491988
"PARP9",-0.224814265410827,4.58300893979734,0.0131240935385451,0.021852183884255
"PDCD5",-0.0879566962140493,5.83022057201251,0.0131305922707165,0.0218590617224497
"OST4",0.13327650898464,5.58056731259118,0.0131522989627287,0.0218912498602504
"EDRF1",-0.0805702910956055,4.17569188968846,0.0132245648988188,0.0220075641934373
"RAB22A",-0.0966254142594897,4.51850589926537,0.0132757749045111,0.0220888028376969
"TMEM230",0.087899302042081,6.09433084916427,0.0133268736630603,0.0221698271370895
"PFKM",-0.202855287908514,10.587908507584,0.013343985900614,0.0221942943871293
"NAV2",-0.228505156747017,3.91901479229597,0.0133835820754392,0.0222561423416284
"ID3",-0.215163702934337,4.77144750442038,0.0134041923267314,0.0222864011830075
"CYP2U1",0.132411862045262,3.17644017948212,0.0134283651178238,0.0223225712952694
"RGS6",-0.335644602406246,1.56420638129395,0.013465362225838,0.022380042979242
"ELN",-0.383271541179103,5.16448498503611,0.0134943251035283,0.0224241431198326
"PDE7B",0.136502112634944,3.17247804755659,0.0134992510352366,0.0224282912718266
"MRPL58",0.110222318617397,4.83170031171123,0.0135280927977043,0.0224721656677359
"ADAMTS2",-0.421055709511443,3.33509202831655,0.0135640068909683,0.0225277703509407
"GAS7",0.246212096624642,4.32354923571656,0.0136598890079773,0.0226829349582008
"FRY",0.164071104237608,5.93726198440187,0.0137340215723661,0.0228019340169985
"CCDC137",-0.138924768802313,3.3586014973819,0.0137881929686205,0.0228877556722417
"TROVE2",-0.0980726195002249,4.79869520521944,0.013807964824821,0.0229164551057034
"ZNF429",0.128121009173404,2.50446200760976,0.0138213345849643,0.0229345208617303
"EVL",0.167357217629967,5.0622332174944,0.0138340522675473,0.0229514982893115
"STAT3",-0.122449081509508,8.00603160296224,0.0138658048355854,0.0230000439240411
"BCOR",-0.131488011110613,5.57482104580703,0.0138872112292885,0.0230314133772121
"JPH1",0.252945334108182,8.57160528393148,0.0139137119191688,0.0230712187400481
"THOC7",-0.0763644773328751,5.42061694082453,0.0139352637224354,0.0231028052122488
"CD37",-0.343804090340517,1.23343193446092,0.0139499169571582,0.0231229454895901
"SENP7",-0.119933432676307,4.51427792879134,0.0140249833772418,0.0232431995610985
"INVS",-0.129008513905852,3.10352869107851,0.0140456636870498,0.0232732941114982
